Name,Tokens
Chork,speaks spoken morning inside altar outside checked deepens return spends tabantha n moon decides hidden rito care platform goat could mention flew character hear mutter afternoon mystery washa completing drinking quest first tell ancient figure bridge neither bluff breath worker wild red surprised shrine observe take stable white south previously solve bard table 
Chumin,purchase offer restocks spinch blueshell according travel choice uld calling item sleepy game describes traversing business even lot selling attempt sign first donkey wild saying lurelin buy assures make sits top entered refers try resort reward snail also rain ended save many hearty ware raining go trade whole ra among traveler merchant attract fish spoken year think merchandise lakeside customer around ever chest spends getting made enemy rest map product road mention lost awning nothing tree monster forth sporadically encountered breath direction sure walk stock traveling wood simple faron rupee satisfied fruit sell n lake whenever tour fishing could reminds village near avoided back character childhood traditional town highland route treasure area give thanks occasionally time hang guide take stable claim walking 
Dabi,asks offer energized choosing surroundings eating cursed tabantha anyone ridge good horsing call us special comedian stay register registration front horse attempting asked welcome wild scenery offered several move owns saying fear day great 40 regular try mountain soft side hope also explains addition bridge stalhorses separated well present tip spoken inside viewing navigate around without registered rest wish taking believing road quit scared fee bear whistling ask deer hyrule monster scold tame instinctively tell board instruction breath refusing charge morning rupee insists come enjoyed follow n cause care character evening approach refuse one give lord sleep want thanks feeling staying informs 20 bed wake take stable say running 
Daruk,asks responsible overlooking influence rock yu sky becomes saving gratitude protection ruined war goron wonder see vah drove slide remaining bidding us reach gorons event fared assault tasked following battle appointed base plan possessed inflicts freed along first barrier statue falling quip 100 polyhedric dlc survey knight instructs five wild generally surprised next entrusts memory recurring ago help sound free staring zelda farewell aim deflect attacked regains command preparation fear answer excitable great described ganon igbo 10th combined watch inform however weakness apologizes people boulder 12 two guiding needed total top notice monstrosity city life incoming mountain ultimately wildly death sword recovered released hear emergence earliest also activates member spring activating resume concern legacy reassuring seek still terls provided well disappointed corrupted able interrupted present series luck guidance chased legend kept another seized 50 upon ruin pitting inside year behind warped use remark admits lanayru aboard mount stone control map disappearing piloting voice ability champion later beast compatible prompting interrupt waited ally praying wielded resulting quietly crystal led always breaker hyrule main monster appears gathered tell board calty user protect wave breath suddenly heavy hero alive reference unles song younger known damage rudania attack stopping active shield revelation divine pilot likeness hears drive return state 5 killed ished setting warrior whenever n group unit cause dog visibly based pack swears recharging revealed head back blocking name terl presentation character discouraging defeat idea approach ex one spirit give confident castle feel leave november retriever called panic since calm thanks red using together engages appointing friend guide take assurance ceremony descendant 
Dauntless,upon snowfield great affection belonging around unable deal without tabantha found partner n getting hunter noble beloved describes winded character equal serenne run toward horse treasure dear bridge become breath wild dependent together steed w stable step claim traveling 
Dinraal,horn shard difference fire defeated forest twice golden actively fang din claw note various wild generally offered drop close localized great however found unless kingdom cannot try enhanced 11 eldin also spring harm set part power hit 00 seared full dragon akkala different vary scale hidden guard goddess timestamps japanese always rong hyrule appears breath shrine reference three depending pm posse derive come ots armor seem get others unlock hebra body name region fireproof bow one material ancient spirit emaing 05 time fairy 
Ena,keep asks big pouch knowing danger tabantha wonder considers warned due western forest mr eat collect told better horse secret despite speed wild cargo rumor relay help share man throughout day bigger avoid watch however people two sits tired life goat learned heard lead also rain part leaf bridge well term thought nice know poop child behind inside follows flees around ever admits belief tunnel thing receive encourages bringing always assist botw hyrule tell breath inventory song contrary morning chore end claim n kid sings care came head character tend cool one leave castle sleep declares want informs expand bed friend take stable white fairy going 
Endai,rock sometimes according travel danger away like carry insect knowledge emblazoned reach reason due fact roguish elixir horse e mighty bird wild look lightning weapon share avoid hot climbing across throwing appear found make pkeepers leader life sleeping try sword side bit snail also spring possibility courageous rain metal seek many bridge frog may putting ware anything recommends among recognizes traveler know infiltrate tip something think southern gear customer banana kl much decide getting enemy rest thunderstorm best le road mention thing lost continue encourages ot presented shelter tree royal speak hyrule forth tell swimming briefly suggests wetland north breath adventurer riverside speaks shield though love come heading return clan whether leaving refuge fly sell n decides get dog useful reminds yiga egg back journey head character catching eye treasure one castle pause since occasionally kohga grass stable south slippery cutting fairy considers 
Epona,grip range item word game would construction barrier enter statue restored despite ingo provide kidnapped result include start close d day igbo valley listen buy park mayor autically outcome ending make rr cannot optional poe princess untamed experience kakao completing remember talon super reunites ride furious immediately series gave container location accept adventure additionally established year celtic riding longt wind thing blocked force ally teach unnamed second ask hyrule speak farm brush worker system participate way receives animal wood mounted saddle cross entertaining wearing care milk instead causing village wear back lunge stranger startled let bow called returning sized canyon ganondorf logo rid guide stable keep previous king away cinematics inspired catherine search gorons smash dy battle 64 meaning taken plan first horse mask poorly team attempting e speed carrot groomed recurring regains gallop sn hurt great seven cap two liking colin death carrying loses archery also obtaining ikana turn blowing treat involved stage wolf continues legend built difficult catch default registered leap poh goddess named development later lost company ocarina anniversary departing recognize afterwards appears season tell feature although breath house including giant hide ter attack ordon rt consciousness leaving deceased horseback stop onto knocked required town got bo give bay challenging spur using together raised used big seen entirely famous onsn unconscious unlike namesake disappears skull communicate good wall thrown even fighting either practice register base attempt throw owned along snowhead various wild oracle next minish help dragging zelda attacked manages sng across appearing twilight ding detely tatl mountain sword side ranch revived boost run wn part ee developer aiding need present indicating trot 30th ruin gear exit obtain broken angry galloping best taking scene tamed key foal tame age song epos gerudo similar though opening stated old third summon waker race obtained cloud miyamoto nə field iˈpoʊ name character idea wanted mare credit tael play fence escape bros since specially four innkeeper said moved running fuse asks aforementioned shigeru prevent cutscene like call defeated special movie pronounced western win wagon visit bulblin fortress chosen swordplay six early enough however appear resembling ground balloon manager save bridge become well able among al malon 150 bulblins around use spare enemy made control jump kinstones minigame romani lon mane steed charge legendary worn sell oting hat get kid job ownership whip temple body fertility co shuts shutting defeat sanidin approach betting one ilium grab celebration want grass bridle leg time gate requested take say claim mario 
Farosh,full close horn unckable dragon day great faron dropped shard ots thunder armor reveal different damaged however electricity rubber get scale unless others hidden cannot try courage defeated game enhanced farore body name twice actively rong fang harm hyrule helm set spring bow one material claw ancient spirit surrounding breath wild next shrine disappear drop three depending fairy derived bonus posse 
Fyson,asks purchase keep intrigued gather uld away like carry vah searching wife item reason store would prospect due even lot selling visit mother new mug look wild went help initially trader d day great buy however found entirety make general responsibility ground tarrey side hear beauty hope also run weather worried comment still well go anything able need appreciating established place akkala much annoy wedding product asking dream someone beast excited encourages p ask glad manning open distance flight happy suggests breath build planning sure medoh way adventurer longer stock sorrow plagued pretty traveling wood falcon bandit reached attempted speaks home divine come piece fly end sell continuously calmed decides whenever group rito compete could helping village head journey back supply character transporting 30 town quest one leave want thanks since else branch nest take slippery say realizes claim looking 
Goflam,breath character needed wild citation 
Greyson,offer beside alongside policy difference uld goron replace would construction due miner remove told front statue despite asked land disappointment wild planned sitting shift d day digging bitter thereafter however people boulder found never make must needed accordance eventually break tired life son ore refers tarrey ground guest relax side eldin pot also resume work comment able citation present know another strength cooking long meet child southern agrees nng use much contain rest wish wedding goddess development voice later continue every investigate breath house younger longer known accepted happier night proceeds brother end sell decides job stark could gem name brings character approach town play quest one express mine person canyon time clear opened vow 
Heehl,standing harder rock gut ancestral goron fire see abandoned even base sign along wild gone next sitting collapse success declared passioe saying reveals impressive training feat city life endurance test join ground eldin also completing gateway involved check strength difficult hotter withstand southern commends rest mount platform contest beating northern second main appears nabooru blood breath house traveled longest shrine gerudo brother left challenge train others winner heat updraft near character highland quest one ring canyon consisting 
Hestu,asks giving swamp becomes travel prank uld away like see anyone remembers game would straight maraca priceless expansion even forest tune told celebrated dialogue introduces taken front along first smell 100 target asked facing surprised gone recurring announcing ago sound weapon zelda move completed trading saying encounter koroks found two must powerless ding explaion make total stolen try nearby granpa side controlled bit korok hope explains wrong upgrade hesitate stead power trade able need overcome series learn legend sing upon something remain excuse spoken inside year behind scrio agrees might consist wait chest explain without use getting belief rest asking voice lost continue single every talk stronghold ask monster hyrule main appears retrieve tell age calty last north wetland woodland gotten inventory direction shrine chestnut musician way longer three riverside wood assistance shield trigger respond admit return dejected reintroduce state follow freeing warrior get group stash task based shaka revealed back realizing dance blocking name contraction allow character refuse river play 4 quest bow one thank give seed malice 6 using joy expand blown time realizes stable derived 
Hudson,purchase offer practically leading word everything carpenter reason would construction expansion tasked dialogue visit attempting welcome wild expressed conversation project initially hire saying far initiate great buy found order occasion break responsibility son nearby tarrey ground intends side usually work assisting demolish leaf tasking upon agrees akkala wait lanayru mention east company necluda single tree ask composed goodbye tell visiting north breath house hateno sentence oh simple speaks learning shirt end directly n simply begin instead village wear retracts name homeowner character response town situated quest unique take underneath say going 
Hylia,peace giving suffered formed gaepora smile see bloodline us resurrect abandoned would ancestor awakening captured located stay statue barrier ure land demonic continued knew reincarion several relic tribe within close day watch cave safe make must evil princess eldin title beginning completing assisting form remember location unbreakable original adventure remain meet disambiguation year follows lanayru melody loftwings destroy mention path receive lee seal force ally selfless teach rescued second hyrule ghirahim hero way w maiden wood imagery come eternally demise return seem lake causing blessed back journey thousand involve establish article sent returning guide future keep previous king travel consisted inherited actually uld away era wanting alone stirring grace generation battle plan absorbing presence first secret falling chose five wing angelic making prepared realized great former aware past grasp people two praised needed eventually desert bestowed entrusted telling destroying also wrong obtaining work still army ˈhaɪliə kept ritual inside prosperity absorb doubt magical wish goddess named trial someone later royal appears gathered tell soul wisdom breath house shrine including separate three incarion rush attack successfully faron divine lived departed heading center proceeds consciousness end camera implying could gift onto helped winged childhood meant quest pray triforce spirit bay reborn skyward friend used purpose knowing sky surface saving levias deep restoring resides tantari resembles succeed reach even explaining fighting usable throw along royalty true wild harp created sealed hold help weapon zelda divinity attacked manages trophy across apologizes twilight defeating possession guardian order life refers mountain sword creating deity object explains set met part surviving go purify ensure skyloft dragon tossed without depicted beloved taking fantasized intention entity injury fissure bear monster ə sight passed protect moment song known activate earth old race hid n often imprisoned cloud witness troop came revive destruction name mortal character play mges escape becoming sleep since person holding action woman existence descendant asks frequently tucked prevent warden monk protection danger choice hand pronounced appointed succeeds horde sacred flame rise memory wield sending throughout chosen pose reveals enough tornado however appear kingdom daughter test lasting point request demon fight bridge power right become well pan able among al young upon long mentioned act use worship belief mount sailcloth awaken flying crystal world open god last hy hn fi isle fly left featured pay simply group blesses unlock transfer shad courage temple headfirst body defeat region context river one ancient figure imprisonment want time gate take claim born outcrop opened 
Kabetta,difficult saying withstand harder standing hotter laying rock southern reveals gut brother however left ancestral challenge goron train fire see training exhaustion rest mount others winner heat feat city life platform contest endurance test join abandoned ground beating docile encourages eldin even northern character meek also base highland sign along quest first appears falling nabooru youngest ring declared blood breath wild house involved check traveled gone shrine longest canyon sitting take collapse consisting gerudo passioe strength 
Kanny,breath character wild 
Kapson,asks offer speaks rupee great engaged atop elderly around hate recruit however inn option like idling belief wedding couple superior life bedding insolence ground would death tarrey side forgiven character zora towards stay furniture town introduce quest anger one pray express retirement calty breath since smites wild residence pious priest anything action innkeeper bored take charge officiate claim similar elder 
Karson,purchase offer population alongside hard per idolizes construction reluctant karr first 100 attempting land wild scanvian free initially d sit former serve buy provides found returned never ending order hired son owner nearby requirement ground tarrey carrying side collective also work comment addition demolish direct upon akkala awaiting mean half curly cease development ability east fee company necluda haired renovate tree hyrule hint tell age breath build house decision hateno speaks rupee admit shirt left n employee ness wearing quickly begin village initiative variation name homeowner complete character bos town quest express inadvertently castle thanks surprise obstie clear underneath 
Kass,identity peace green altar suffering damel teacher accompanying see word bone access struck 5pm following introduces avert statue land knight prancing ago tempestuous tribe within day resurrected weakened sun listen cave safe whilst fulfill never must entwined evil princess visited jaw zonai spring throne minstrel form light awakens super location series remain meet year rose heart heaven composition placing wind brave spoke cease mounting unlocked force ally qukah nothing second hyrule bleeds flight shimomura encountered north gnd fate hero way w wood night learning beneath rupee reveal return fruit willed playing oft lake reaffirm cause ocean causing village wear lush back raged harmonizes 00am called poet air guide stable derived keep offer horn breed 12am rune travel fire undone wife cower 00pm kitano smash assault battle meaning plan first secret flightless confess dark wing free 000 source encounter ganon verse aware atop rabia people two moon needed sits titan nearby palm death blue hope committed wandering deadly brazen legend kept strength forced built inside villainous completely pierce bomb chest cloth hidden leap goddess vast champion trial lost beast single prize yoko afterwards northwest appears tell soul kashiwa breath shrine 10 type giant shatter attack shield divine lived end dracozu bore firing could 24 armorless tower certain give yellow castle bay reborn acquired used walking sting seen rock sky surface lagoon bind reared hunted skull good current resembles splay forest luigi refer containing invite claw culture true various bird wild next sealed help large zelda version remote ceased gold fray lyric guardian mouth break life paraglider mountain join sword object metal serpent fearless set machine bluff mound veiny magnesis wit plain cassowary crown know attract bare ruin behemoth pledged child dragon player hill theme broken riddle largely platform potentially dream hīwa poultry stand line southeast washa survives calty age passed protect unled song gerudo known holy though cost optimism story shine rito begin high unrequited cache retrieval thrd destruction name character resurrection play toward fallen late incensed sleep bros four said related asks monk widely wonder like noble ultimate hand call defeated rout horon western appointed towards shape solves visit wrest hour rise boiling lightning japan healing effort regain concealing fiend arrow reveals serve appear 12 glide kingdom buck kind sheikah lurked mario lasting teeth point homesick save many fight originally power become calora airtight price shadow al citation await upon long blow spoken sealing behind 17 hate prey pedestal use clearing done scale mount caltous fierce thread ability japanese strengthening every open arrangement last responds blood dish auted west chicken matter love fly left featured pay warrior simply get unlock sings bandoneon courage near body head blocking region bring referred river area one ancient figure grasped ring sworn clue den time normally storied looking 
Kenyo,cked noise great explain tabantha found near loud character boom talking tell bridge breath wild go bam stable ghost know creates 
Kilton,purchase offer overworld seen faic deep skull searching bone spot picture told stay fang shady medal first bid interested award various wild disappear rumor least farewell owns day ganon found defeating associated notice side heard specializing slayed also set part turn still ware traveler merchant 00 something spoken customer around akkala guard taking east mon single every p monster rare invented appears calty marked breath exchange suddenly 9 type speaking pm traveling night activity left sell 5 lake recognizing begin task signpost apart village near back character bos eye suspecting scent startled quest honor time stable particularly currency used related 
Leekah,giving gratitude watch return fails like prone often especially irritable gift knocked small character monster river afterwards save area express give leaf becoming bossy breath woodland wild intended woman stable another attacked young 
