Word,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
announcement,0,0,0,1,0,0,0,0,0,0
annoy,0,1,1,0,1,0,0,0,0,0
annoyance,0,1,1,0,1,0,0,0,0,0
annoying,0,1,1,0,0,0,0,0,0,0
annul,0,1,0,0,0,0,0,0,0,0
annulment,0,1,0,0,0,0,0,1,0,0
anomaly,0,1,0,0,0,1,0,0,1,0
anonymous,0,1,0,0,0,0,0,0,0,0
answerable,0,0,0,0,0,0,0,0,0,1
antagonism,0,1,1,0,0,0,0,0,0,0
antagonist,0,1,1,0,0,0,0,0,0,0
antagonistic,0,1,1,0,1,0,0,0,0,0
anthrax,0,1,0,0,1,1,0,1,0,0
antibiotics,1,0,0,0,0,0,0,0,0,0
antichrist,0,1,1,0,1,1,0,0,0,0
anticipation,0,0,0,1,0,0,0,0,0,0
anticipatory,0,0,0,1,0,0,0,0,0,0
antidote,1,0,0,1,0,0,0,0,0,1
antifungal,1,0,0,0,0,0,0,0,0,1
antipathy,0,1,1,0,1,0,0,0,0,0
antiquated,0,1,0,0,0,0,0,0,0,0
antique,1,0,0,0,0,0,0,0,0,0
antiseptic,1,0,0,0,0,0,0,0,0,1
antisocial,0,1,1,0,1,1,0,1,0,0
antithesis,0,1,1,0,0,0,0,0,0,0
anxiety,0,1,1,1,0,1,0,1,0,0
anxious,0,1,0,1,0,1,0,0,0,0
apache,0,1,0,0,0,1,0,0,0,0
apathetic,0,1,0,0,0,0,0,1,0,0
apathy,0,1,0,0,0,0,0,1,0,0
aphid,0,1,0,0,1,0,0,0,0,0
aplomb,1,0,0,0,0,0,0,0,0,0
apologetic,1,0,0,0,0,0,0,0,0,1
apologize,1,0,0,0,0,0,0,1,0,1
apology,1,0,0,0,0,0,0,0,0,0
apostle,1,0,0,0,0,0,0,0,0,1
apostolic,0,0,0,0,0,0,0,0,0,1
appalling,0,1,0,0,1,1,0,0,0,0
apparition,0,0,0,0,0,1,0,0,1,0
appeal,0,0,0,1,0,0,0,0,0,0
appendicitis,0,1,0,0,0,1,0,1,0,0
applause,1,0,0,0,0,0,1,0,1,1
applicant,0,0,0,1,0,0,0,0,0,0
appreciation,1,0,0,0,0,0,1,0,0,1
apprehend,0,0,0,0,0,1,0,0,0,0
apprehension,0,1,0,0,0,1,0,0,0,0
apprehensive,0,1,0,1,0,1,0,0,0,0
apprentice,0,0,0,0,0,0,0,0,0,1
approaching,0,0,0,1,0,0,0,0,0,0
approbation,1,0,0,0,0,0,0,0,0,1
appropriation,0,1,0,0,0,0,0,0,0,0
approval,1,0,0,0,0,0,0,0,0,0
approve,1,0,0,0,0,0,1,0,0,1
approving,1,0,0,0,0,0,0,0,0,0
apt,1,0,0,0,0,0,0,0,0,0
aptitude,1,0,0,0,0,0,0,0,0,0
arbiter,0,0,0,0,0,0,0,0,0,1
arbitration,0,0,0,1,0,0,0,0,0,0
arbitrator,0,0,0,0,0,0,0,0,0,1
archaeology,1,0,0,1,0,0,0,0,0,0
archaic,0,1,0,0,0,0,0,0,0,0
architecture,0,0,0,0,0,0,0,0,0,1
ardent,1,0,0,1,0,0,1,0,0,0
ardor,1,0,0,0,0,0,0,0,0,0
arduous,0,1,0,0,0,0,0,0,0,0
argue,0,1,1,0,0,0,0,0,0,0
argument,0,1,1,0,0,0,0,0,0,0
argumentation,0,0,1,0,0,0,0,0,0,0
argumentative,0,1,0,0,0,0,0,0,0,0
arguments,0,0,1,0,0,0,0,0,0,0
arid,0,1,0,0,0,0,0,1,0,0
aristocracy,1,0,0,0,0,0,0,0,0,0
aristocratic,1,0,0,0,0,0,0,0,0,0
armament,0,0,1,0,0,1,0,0,0,0
armaments,0,1,0,0,0,1,0,0,0,0
armed,1,1,1,0,0,1,0,0,0,0
armor,1,0,0,0,0,1,0,0,0,1
armored,0,0,0,0,0,1,0,0,0,0
armory,0,0,0,0,0,0,0,0,0,1
aroma,1,0,0,0,0,0,0,0,0,0
arouse,1,0,0,1,0,0,0,0,0,0
arraignment,0,1,1,0,0,1,0,1,0,0
array,1,0,0,0,0,0,0,0,0,0
arrears,0,1,0,0,0,0,0,0,0,0
arrest,0,1,0,0,0,0,0,0,0,0
arrival,0,0,0,1,0,0,0,0,0,0
arrive,0,0,0,1,0,0,0,0,0,0
arrogance,0,1,0,0,0,0,0,0,0,0
arrogant,0,1,1,0,1,0,0,0,0,0
arsenic,0,1,0,0,1,1,0,1,0,0
arson,0,1,1,0,0,1,0,0,0,0
art,1,0,0,1,0,0,1,1,1,0
articulate,1,0,0,0,0,0,0,0,0,0
articulation,1,0,0,0,0,0,0,0,0,0
artillery,0,1,0,0,0,1,0,0,0,0
artisan,1,0,0,0,0,0,0,0,0,0
artiste,1,0,0,0,0,0,0,0,0,0
artistic,1,0,0,0,0,0,0,0,0,0
ascendancy,1,0,0,0,0,0,0,0,0,0
ascent,1,0,0,0,0,0,0,0,0,0
ash,0,1,0,0,0,0,0,0,0,0
ashamed,0,1,0,0,1,0,0,1,0,0
ashes,0,1,0,0,0,0,0,1,0,0
asp,0,0,0,0,0,1,0,0,0,0
aspiration,1,0,0,1,0,0,1,0,1,1
aspire,1,0,0,1,0,0,1,0,0,0
aspiring,1,0,0,1,0,0,1,0,0,1
ass,0,1,0,0,0,0,0,0,0,0
assail,0,1,1,0,0,1,0,0,1,0
assailant,0,1,1,0,0,1,0,1,0,0
assassin,0,1,1,0,0,1,0,1,0,0
assassinate,0,1,1,0,0,1,0,0,0,0
assassination,0,1,1,0,0,1,0,1,0,0
assault,0,1,1,0,0,1,0,0,0,0
assembly,1,0,0,0,0,0,0,0,0,1
assent,1,0,0,0,0,0,0,0,0,0
asserting,1,0,0,0,0,0,0,0,0,1
assessment,0,0,0,0,0,0,0,0,1,1
assessor,0,0,0,0,0,0,0,0,0,1
assets,1,0,0,0,0,0,0,0,0,0
asshole,0,1,1,0,1,0,0,0,0,0
assignee,0,0,0,0,0,0,0,0,0,1
assist,1,0,0,0,0,0,0,0,0,1
assistance,1,0,0,0,0,0,0,0,0,0
associate,1,0,0,0,0,0,0,0,0,1
association,0,0,0,0,0,0,0,0,0,1
assuage,1,0,0,0,0,0,0,0,0,0
assurance,1,0,0,0,0,0,0,0,0,1
assure,0,0,0,0,0,0,0,0,0,1
assured,1,0,0,0,0,0,0,0,0,1
assuredly,0,0,0,0,0,0,0,0,0,1
astonishingly,1,0,0,0,0,0,0,0,1,0
astonishment,1,0,0,0,0,0,1,0,1,0
astray,0,1,0,0,0,1,0,0,0,0
astringent,0,1,0,0,0,0,0,0,0,0
astrologer,1,0,0,1,0,0,0,0,0,0
astronaut,1,0,0,0,0,0,0,0,0,0
astronomer,1,0,0,1,0,0,0,0,0,0
astute,1,0,0,0,0,0,0,0,0,0
asylum,0,1,0,0,0,1,0,0,0,0
asymmetry,0,0,0,0,1,0,0,0,0,0
atheism,0,1,0,0,0,0,0,0,0,0
atherosclerosis,0,1,0,0,0,1,0,1,0,0
athlete,1,0,0,0,0,0,0,0,0,0
athletic,1,0,0,0,0,0,0,0,0,0
atom,1,0,0,0,0,0,0,0,0,0
atone,1,0,0,1,0,0,1,0,0,1
atonement,1,0,0,0,0,0,0,0,0,0
atrocious,0,1,1,0,1,0,0,0,0,0
atrocity,0,1,1,0,1,1,0,1,0,0
atrophy,0,1,0,0,1,1,0,1,0,0
attachment,1,0,0,0,0,0,0,0,0,0
attack,0,1,1,0,0,1,0,0,0,0
attacking,0,1,1,0,1,1,0,1,1,0
attainable,1,0,0,1,0,0,0,0,0,0
attainment,1,0,0,0,0,0,0,0,0,0
attempt,0,0,0,1,0,0,0,0,0,0
attendance,0,0,0,1,0,0,0,0,0,0
attendant,1,0,0,0,0,0,0,0,0,1
attention,1,0,0,0,0,0,0,0,0,0
attentive,1,0,0,0,0,0,0,0,0,1
attenuated,0,1,0,0,0,0,0,0,0,0
attenuation,0,1,0,0,0,0,0,1,0,0
attest,1,0,0,0,0,0,0,0,0,1
attestation,0,0,0,0,0,0,0,0,0,1
attorney,1,0,1,0,0,1,0,0,0,1
attraction,1,0,0,0,0,0,0,0,0,0
attractiveness,1,0,0,0,0,0,0,0,0,0
auction,0,0,0,1,0,0,0,0,0,0
audacity,0,1,0,0,0,0,0,0,0,0
audience,0,0,0,1,0,0,0,0,0,0
auditor,0,0,0,0,0,1,0,0,0,1
augment,1,0,0,0,0,0,0,0,0,0
august,1,0,0,0,0,0,0,0,0,0
aunt,1,0,0,0,0,0,0,0,0,1
aura,1,0,0,0,0,0,0,0,0,0
auspicious,1,0,0,1,0,0,1,0,0,0
austere,0,1,0,0,0,1,0,1,0,0
austerity,0,1,0,0,0,0,0,0,0,0
authentic,1,0,0,0,0,0,1,0,0,1
authenticate,0,0,0,0,0,0,0,0,0,1
authentication,0,0,0,0,0,0,0,0,0,1
authenticity,1,0,0,0,0,0,0,0,0,1
author,1,0,0,0,0,0,0,0,0,1
authoritative,1,0,0,0,0,0,0,0,0,1
authority,1,0,0,0,0,0,0,0,0,1
authorization,1,0,0,0,0,0,0,0,0,1
authorize,0,0,0,0,0,0,0,0,0,1
authorized,1,0,0,0,0,0,0,0,0,0
autocratic,0,1,0,0,0,0,0,0,0,0
automatic,0,0,0,0,0,0,0,0,0,1
autopsy,0,1,0,0,1,1,0,1,0,0
avalanche,0,1,0,0,0,1,0,1,1,0
avarice,0,1,1,0,1,0,0,0,0,0
avatar,1,0,0,0,0,0,0,0,0,0
avenger,0,1,1,0,0,0,0,0,0,0
averse,0,1,1,0,1,1,0,0,0,0
aversion,0,1,1,0,1,1,0,0,0,0
avoid,0,1,0,0,0,1,0,0,0,0
avoidance,0,1,0,0,0,1,0,0,0,0
avoiding,0,0,0,0,0,1,0,0,0,0
await,0,0,0,1,0,0,0,0,0,0
award,1,0,0,1,0,0,1,0,1,1
awful,0,1,1,0,1,1,0,1,0,0
awkwardness,0,1,0,0,1,0,0,0,0,0
awry,0,1,0,0,0,0,0,0,0,0
axiom,0,0,0,0,0,0,0,0,0,1
axiomatic,0,0,0,0,0,0,0,0,0,1
ay,1,0,0,0,0,0,0,0,0,0
aye,1,0,0,0,0,0,0,0,0,0
babble,0,1,0,0,0,0,0,0,0,0
babbling,0,1,0,0,0,0,0,0,0,0
baboon,0,1,0,0,1,0,0,0,0,0
baby,1,0,0,0,0,0,1,0,0,0
babysitter,0,0,0,0,0,0,0,0,0,1
baccalaureate,1,0,0,0,0,0,0,0,0,0
backbone,1,0,1,0,0,0,0,0,0,1
backer,0,0,0,0,0,0,0,0,0,1
backward,0,1,0,0,0,0,0,0,0,0
backwards,0,1,0,0,1,0,0,0,0,0
backwater,0,1,0,0,0,0,0,1,0,0
bacteria,0,1,0,0,1,1,0,1,0,0
bacterium,0,1,0,0,1,1,0,0,0,0
bad,0,1,1,0,1,1,0,1,0,0
badge,0,0,0,0,0,0,0,0,0,1
badger,0,1,1,0,0,0,0,0,0,0
badly,0,1,0,0,0,0,0,1,0,0
badness,0,1,1,0,1,1,0,0,0,0
bailiff,0,1,0,0,0,1,0,0,0,1
bait,0,1,0,0,0,1,0,0,0,1
balance,1,0,0,0,0,0,0,0,0,0
balanced,1,0,0,0,0,0,0,0,0,0
bale,0,1,0,0,0,1,0,0,0,0
balk,0,1,0,0,0,0,0,0,0,0
ballad,1,0,0,0,0,0,0,0,0,0
ballet,1,0,0,0,0,0,0,0,0,0
ballot,1,0,0,1,0,0,0,0,0,1
balm,1,1,0,1,0,0,1,0,0,0
balsam,1,0,0,0,0,0,0,0,0,0
ban,0,1,0,0,0,0,0,0,0,0
bandit,0,1,0,0,0,0,0,0,0,0
bane,0,1,1,0,1,1,0,0,0,0
bang,0,1,1,0,1,1,0,1,1,0
banger,0,1,1,1,0,1,0,0,1,0
banish,0,1,1,0,1,1,0,1,0,0
banished,0,1,1,0,0,1,0,1,0,0
banishment,0,1,1,0,1,0,0,1,0,0
bank,0,0,0,0,0,0,0,0,0,1
banker,0,0,0,0,0,0,0,0,0,1
bankrupt,0,1,0,0,0,1,0,1,0,0
bankruptcy,0,1,1,0,1,1,0,1,0,0
banquet,1,0,0,1,0,0,1,0,0,0
banshee,0,1,1,0,1,1,0,1,0,0
baptism,1,0,0,0,0,0,0,0,0,0
baptismal,1,0,0,0,0,0,1,0,0,0
barb,0,1,1,0,0,0,0,0,0,0
barbarian,0,1,0,0,0,1,0,0,0,0
barbaric,0,1,1,0,1,1,0,0,0,0
barbarism,0,1,0,0,0,0,0,0,0,0
bard,1,0,0,0,0,0,0,0,0,0
barf,0,0,0,0,1,0,0,0,0,0
bargain,1,0,0,0,0,0,0,0,0,1
bark,0,1,1,0,0,0,0,0,0,0
barred,0,1,0,0,0,0,0,0,0,0
barren,0,1,0,0,0,0,0,1,0,0
barricade,0,1,0,0,0,1,0,0,0,0
barrier,0,1,1,0,0,0,0,0,0,0
barrow,0,0,0,0,1,0,0,0,0,0
bartender,0,0,0,0,0,0,0,0,0,1
barter,0,0,0,0,0,0,0,0,0,1
base,0,0,0,0,0,0,0,0,0,1
baseless,0,1,0,0,0,0,0,0,0,0
basketball,1,0,0,1,0,0,1,0,0,0
bastard,0,1,0,0,1,0,0,1,0,0
bastion,1,0,1,0,0,0,0,0,0,0
bath,1,0,0,0,0,0,0,0,0,0
battalion,0,0,1,0,0,0,0,0,0,0
batter,0,1,1,0,0,1,0,0,0,0
battered,0,1,0,0,0,1,0,1,0,0
battery,0,1,1,0,0,0,0,0,0,0
battle,0,1,1,0,0,0,0,0,0,0
battled,0,1,1,0,0,1,0,1,0,0
battlefield,0,1,0,0,0,1,0,0,0,0
bawdy,0,1,0,0,0,0,0,0,0,0
bayonet,0,1,1,0,0,1,0,0,0,0
beach,0,0,0,0,0,0,1,0,0,0
beam,1,0,0,0,0,0,1,0,0,0
beaming,1,0,0,1,0,0,1,0,0,0
bear,0,0,1,0,0,1,0,0,0,0
bearer,0,1,0,0,0,0,0,0,0,0
bearish,0,0,1,0,0,1,0,0,0,0
beast,0,1,1,0,0,1,0,0,0,0
beastly,0,1,0,0,1,1,0,0,0,0
beating,0,1,1,0,0,1,0,1,0,0
beautification,1,0,0,0,0,0,1,0,0,1
beautiful,1,0,0,0,0,0,1,0,0,0
beautify,1,0,0,0,0,0,1,0,0,0
beauty,1,0,0,0,0,0,1,0,0,0
bedrock,1,0,0,0,0,0,0,0,0,1
bee,0,0,1,0,0,1,0,0,0,0
beer,1,0,0,0,0,0,1,0,0,0
befall,0,1,0,0,0,0,0,0,0,0
befitting,1,0,0,0,0,0,0,0,0,0
befriend,1,0,0,0,0,0,1,0,0,1
beg,0,1,0,0,0,0,0,1,0,0
beggar,0,1,0,0,0,0,0,1,0,0
begging,0,1,0,0,0,0,0,0,0,0
begun,0,0,0,1,0,0,0,0,0,0
behemoth,0,1,0,0,0,1,0,0,0,0
beholden,0,1,0,0,0,0,0,0,0,0
belated,0,1,0,0,0,0,0,0,0,0
believed,0,0,0,0,0,0,0,0,0,1
believer,0,0,0,0,0,0,0,0,0,1
believing,1,0,0,0,0,0,0,0,0,1
belittle,0,1,1,0,1,1,0,1,0,0
belligerent,0,1,1,0,0,1,0,0,0,0
bellows,0,0,1,0,0,0,0,0,0,0
belt,0,1,1,0,0,1,0,0,0,0
bender,0,1,0,0,0,0,0,0,0,0
benefactor,1,0,0,0,0,0,0,0,0,1
