name,line
All Ricks,"Oh God, oh no, what did you guys just do?,Alright both of you, just don't move, don't speak, don't think. I have to check something.,Shut up!  Oh crap are you kidding me? Two dots? This never needs to be more than one dot. The two of you made us uncertain!,Our time is fractured. You two somehow created a feedback loop of uncertainty that's split our reality into two equally possible impossiblities. W-we're exactly like a man capable of sustaining a platonic friendship with an attractive female co-worker. We're entirely hypothetical.,We're not on any timeline, dummy. Look.,I assume they're Schrodinger's cats. A-actually, I assume they both are and aren't, just like us.,“Mom and Dad?” Get your head out of your family's ass. The three of us are lost in a timeless oblivion. Your parents get to exist. They're probably living it up in some pointless grounded story about their shitty marriage.,This is why you don't freeze time, you guys. It's incredibly irresponsible.Morty 1,Look, there's no time to hold me accountable, Morty. Like literally no time. Look around. Uncertainty is inherently unsustainable. Eventually everything either is or isn't. And we've got about four hours to be “is”.,We “isn't”,Alright, since this time crystal exists in both possibilities, and since it's impossible that I didn't nail this, I'm probably about to press this button in both possibilities at exactly the same time.,Whatever you're asking, the answer is I'm amazing. And away we go!,What the hell is wrong with you two!? I—I m—I m—I mean you four!?,Good I'm glad it was painful. You do deserve it! I saw you, you're both  all over the damn place. We've been split for twenty minutes and your lives are already scattered to the quantum fucking wind? What the hell do either of you have to be so uncertain about? Your brand of zit cream? Which chair to sit in while I do everything? Come on, spit it out!,Alright, cool it, I see what's happening here. You're both young, you're both unsure about your place in the universe, you both wanna be “Grampa's favorite.” I can fix this. Morty sit here, Summer, you sit here. Now listen, I know the two of you are very different from each other in a lot of ways, but you have to understand that as far as Grampa's concerned, you're both pieces of shit. Yeah, I can prove it mathematically. Actually, let me grab my whiteboard. This has been a long time coming anyway.,So in conclusion, you're both equally mercurial, overly sensitive, clingy hysterical bird brained homunculi. And I honestly can't tell the two of you half the time because I don't go by height or age, I go by amount of pain in my ass, which makes you both identical. Alright, everything resolved? Everybody nice and certain about their position in my world?,Alright, perfect. Sit still,  arms down, I'm gonna do this again, this time, be like Grampa.,Huh, that's weird. Oh, my God.,That son of a bitch is gonna kill me!,Saving our lives. After he takes me out he's gonna be coming for you!,Me!,Oh God, now there's three of them, we're outnumbered! Get in the cupboards! Wait, don't don't do that, they'll know... wait wait, think about getting in the cupboards but don't really. AAAAH IS THIS WHAT YOU WANT YOU SICK FUCKS? YOU WANNA SEE CHILDREN DIE?,Shh shh... I know where you are, you creepy old monster... I know how you think! Oh, is this where you think I'm going? You think I'm standing here? Well maybe you're right!,Oh God, my head. What did you guys do?,Only in self defense, myself tried to kill me first! Guys, I don't expect you to understand this, but time breaking twice means our problem is two times bigger and we've got half as much time to solve it. Well actually, I do expect you to understand that, it's basic math. C-could someone just let me out of here? If I die in a cage I lose a bet.,Ah, for God's sake, alright here, give me the time crystal.,Calling myself. Here, listen,  it'll probably go to voice mail since, you know, I'm calling myself.,Don't fall for it, it's a bit.,Hey Rick, it's Rick. Listen, I'm sorry about earlier. No hard feelings. I know you know I mean it too. Take it easy. Whoa. Damn, look at this, I'm blown up. Three new voicemails.  Yeah yeah, I heard this one.  You get the idea  we're cool now.,Fine I'll just do it myself.,Because I waited until I was certain it was what I wanted to do, Morty. That's the difference between you and me. I'm certain, and you're a walking burlap sack filled with turds.,Oh, what you're just gonna listen to this guy now? He's got a giant testicle for a head! He came here in a bubble. For all we know he could be the David Berkowitz of Nutsack Land.,Ohohoho! She did it! She did it!, "
All Summers,"Wait, what am I saying?,What's happening Grampa?,Are those cats?,What?,Who?,Ahh!,Holy shit, now what?,Right.,Right...,You tried to kill yourself!,Well is there some way you can prove you're not a threat to yourself and others anymore?,Okay, well we're still not gonna let you out of this crate.,Yeah Grampa, way to go."
All other Meeseeks,Where's he going with this? What does he mean?
All religious Mortys,Praise the One True Morty!
All six aliens together,Hello Rick. Long time no see.
All the Meeseeks,AWWWWWWW!
Amish Cyborg,"Remember it, Rick?"
Anchor,"It appears we are being revisited by the alien known as Rick, who once gave our world the gift of gooble box technology, which, when stomped on, generates electricity, powering our homes and businesses, improving our daily lives, while safely removing the dangerous waste power to a special disposal volcano. But why has Rick returned? And what will he say when he hears the big news? Let's find out."
Andy,"Hi! I’m the Citadel’s new mascot, Andy! Because this place wouldn’t be home without Ricks aaand-ey Mortys!"
Animatronic Ruben,"My name's Ruben Ridley. You're inside me right now, but by the end of this journey, I'll be inside all of you.,My story begins in the dot com crash in the early ‘90s."
Animatronics," It's a road of laughter, a trail of food. It's a pathway that breaks up the fat in food. It's a tube in the chest and it sends out the rest. It's a small, small intestine!"
Annie,"Ah!,What?,Okay.,Oh. Good for you.,We’re sitting ducks!,You guys!,No!,No!, You can put your fingers wherever you want…,If it'll get us out of here., What the hell is that?,They're chewing through the doors!,It's Hepatitis A!,The nipple hole...,Aw no!,Whoa! It's Hepatitis C!,I... think they're just like that? I think they're just good guys.,Actually, I studied Dr. Bloom's work. I believe I have the knowledge necessary to create a new, much safer park!,I think it was one of the most underrated attractions.,Hey Rick! Rick, can you hear me?,Great! We’re also on with Alejandro, our Chief Imaginarian—,Natalie Jacobs and Chris Desiter from Microscopic Marketing, Zach from Organ Concepts and Jamie from New Media.,So. Pirates of the Pancreas."
Announcer,"The glarp zone is for flarping and unglarping only.,The glarp zone is for flarping and unglarping only.,Eye-holes! Get them today! IKEA.,In a world, where there are eight Jan-Michael Vincent's.,And sixteen quadrants. There's only enough time for a Jan-Michael Vincent to make it to a quadrant. He can't be in two quadrants at once.,Jan-Michael Vincent's are used up.,This January, It's time to Mike down your Vincent's. Jan Quadrant Vincent 16.,Let's give a huge thanks to Rick Sanchez for killing Worldender, putting this awesome party together, and for booking one of the hottest talents out there,Coming up next on ""Shmloo's the Shmloss"", Shmlony has a nightmare.,It's a 45 horsepower with anti-lock brakes, and it's the official car of Mr. Sneezy 3D. It's the brand-new Sneezy XL. The horn when you honk it makes a sneeze noise.  It's polite, it's right, and it's Sneezy Deezy Mc-fucking Deluxe.,It's in theaters now! Coming this summer: Two brothers. In a van. And then a meteor hit. And they ran as fast as they could, from giant cat monsters. And then a giant tornado came. And that's when things got knocked into 12th gear.,It's Saturday Night Live! Starring A Piece of Toast! Two guys with handle-bar mustaches! A man painted silver who makes robot noises! Garmanarnar! Three s-- uh uh, uh, uh, I'll get back to that one. A hole in the wall, where the men can see it all, and returning, for his 25th consecutive year: Bobby Moynihan!,In a world, where muscular mannies are coming, and they're coming strong, there's only three unmuscular Michaels.,And that's when real - Turbulent - Juice is coming, and you gotta take care of it. With Turbulent Juice, turbulent tables, no room is safe from the turbulent power of Turbulent Juice.,Mrs. Sullivan always planned to leave everything to her cats. But sometimes, plans need a helping paw. What are the kitties to do, but buckle together and work as a team.,This fall, sparks will fly!,Between one guy, who can't get a break...,...and nine cats who break all the rules. Last Will and Testa-meow: Weekend at Dead Cat Lady's House 2.,Written and directed by Jerry Smith.,Spiraling perfectly, it’s gonna be caught by Roy Parsons! Roy Parsons is at the 20!  Now he’s at the 10! Nothing can stop Roy the Rocket! Touchdown!,Are you tired of the same daily droll? Well, get on over to Blips and Chitz!  We got, uh… one game! We got a whole bunch of games here! Uh, we got chabos and flobos and you can shoot things! Get on over here and play the games! Use your Flurbos to get tickets! Roy 2 just got here! G-Get over here at Ch… Chips and Chitz!"
Another Jerry,The factory tint setting is always too high!
Another Rick," Hey, wait, do you have 5126?"
Ants-In-My-Eyes Johnson,"I'm Ants-In-My-Eyes Johnson, Here at Ants-in-My-Eyes Johnson's Electronics. I mean, there's so many ants in my eyes! And there's so many TVs, microwaves, radios I think, I can't-- I'm not 100% sure what we have here in stock, because I can't see anything. Our prices, I hope, aren't too low! Check out this refrigerator! Only $200! What about this microwave? Only $100! That's fair! I'm Ants-in-My-Eyes Johnson! Everything's black, I can't see a thing!  And also I can't feel anything either-- did I mention that? But that's not as catchy as having ants in your eyes. So that always goes, you know, off by the wayside. I can't feel. It's a very rare disease. All my-- All my nerves, they don't allow for the sensation of touch. So I never know what's going on. Am I standing? Sitting? I don't know."
Armed Rick 1,Nooo!
Armed Rick 2,Arrrrgh! Ahhhh!
Armed Rick 3,Aaaah!
Armed Rick 6,They could have gone into any one of these.
Armed Ricks 4 and 5,Oof!
Army General,"Go, go, go!,You have 10 seconds to get out of the ship! 10, 9...,...Eight...,...seven...,...six...,...five--,Holy hell.,.All right, that's it. Move out!"
Automated voice,"Arriving at ‘Liver’.,Mind the gap."
Baby,Everything’s deductible.
Baby Legs,"Detective, I'm-- this is upsetting to me, because I feel like I don't need no regular-leg partner.,Uh, yeah, because I'm a good detective.,Baby Legs, here we go!  That's the sound I make, when I'm trying to run fast.  All right, I'm not going to get him. I'm, I-I just learned a real valuable lesson.,Hey, that was good team work.,Hey thanks, chief!"
Bachelor,"Cynthia...,Will you please... NOT marry me-- I choose Veronica."
Bearded Jerry,"Ante up.,If you want to leave, you can just go out the front door."
Beta-7,"Unity.  Is it a... bad time? Are all... present lifeforms... assimilated?,Rick... Sanchez. Unity has spoken of you.,Our alliance is beneficial. When Beta-7 expresses concern it- it's only ... be-because...,Hrmm...,How can I assist you?,You're classified as a hostile entity, and Unity doesn't want to talk to you.,You are classified as a hostile entity.,Weapons systems engaged."
