Name,Hyperlink
Bootleg Portal Chemist Rick,https://rickandmorty.fandom.com/wiki/Bootleg_Portal_Chemist_Rick
Borpocians,https://rickandmorty.fandom.com/wiki/Borpocians
Bova,https://rickandmorty.fandom.com/wiki/Bova
Brad,https://rickandmorty.fandom.com/wiki/Brad
Brad Anderson,https://rickandmorty.fandom.com/wiki/Brad_Anderson
Bruce Chutback,https://rickandmorty.fandom.com/wiki/Bruce_Chutback
Bullies,https://rickandmorty.fandom.com/wiki/Bullies
Butter Robot,https://rickandmorty.fandom.com/wiki/Butter_Robot
Butter Robot (Fortnite),https://rickandmorty.fandom.com/wiki/Butter_Robot_(Fortnite)
Buttmouth,https://rickandmorty.fandom.com/wiki/Buttmouth
Calypso,https://rickandmorty.fandom.com/wiki/Calypso
Canklanker Thom,https://rickandmorty.fandom.com/wiki/Canklanker_Thom
Catogami,https://rickandmorty.fandom.com/wiki/Catogami
Centaur,https://rickandmorty.fandom.com/wiki/Centaur
Chris,https://rickandmorty.fandom.com/wiki/Chris
Chris (The Ricks Must Be Crazy),https://rickandmorty.fandom.com/wiki/Chris_(The_Ricks_Must_Be_Crazy)
Chud King,https://rickandmorty.fandom.com/wiki/Chud_King
Coach Feratu,https://rickandmorty.fandom.com/wiki/Coach_Feratu
Colossus,https://rickandmorty.fandom.com/wiki/Colossus
Comedian,https://rickandmorty.fandom.com/wiki/Comedian
Commander Rick,https://rickandmorty.fandom.com/wiki/Commander_Rick
Concerto,https://rickandmorty.fandom.com/wiki/Concerto
Conroy,https://rickandmorty.fandom.com/wiki/Conroy
Cool Rick,https://rickandmorty.fandom.com/wiki/Cool_Rick
Coop,https://rickandmorty.fandom.com/wiki/Coop
Council of Ricks,https://rickandmorty.fandom.com/wiki/Council_of_Ricks
Courier Flap,https://rickandmorty.fandom.com/wiki/Courier_Flap
Cousin Nicky,https://rickandmorty.fandom.com/wiki/Cousin_Nicky
Crazy Cat Rick,https://rickandmorty.fandom.com/wiki/Crazy_Cat_Rick
Crocubot,https://rickandmorty.fandom.com/wiki/Crocubot
Cromulons,https://rickandmorty.fandom.com/wiki/Cromulons
Cronenberg Morty,https://rickandmorty.fandom.com/wiki/Cronenberg_Morty
Cronenberg Rick,https://rickandmorty.fandom.com/wiki/Cronenberg_Rick
Crop Top Morty,https://rickandmorty.fandom.com/wiki/Crop_Top_Morty
Crowscare,https://rickandmorty.fandom.com/wiki/Crowscare
Crustolomons,https://rickandmorty.fandom.com/wiki/Crustolomons
Crystallized Morty,https://rickandmorty.fandom.com/wiki/Crystallized_Morty
Cult Leader Morty,https://rickandmorty.fandom.com/wiki/Cult_Leader_Morty
Curly-haired Rick,https://rickandmorty.fandom.com/wiki/Curly-haired_Rick
Cyclops Morty,https://rickandmorty.fandom.com/wiki/Cyclops_Morty
Cyclops Rick,https://rickandmorty.fandom.com/wiki/Cyclops_Rick
Cynthia,https://rickandmorty.fandom.com/wiki/Cynthia
Cynthia (Rixty Minutes),https://rickandmorty.fandom.com/wiki/Cynthia_(Rixty_Minutes)
Dale,https://rickandmorty.fandom.com/wiki/Dale
Dale's Son,https://rickandmorty.fandom.com/wiki/Dale%27s_Son
Dangelians,https://rickandmorty.fandom.com/wiki/Dangelians
Daphne,https://rickandmorty.fandom.com/wiki/Daphne
Daron Jefferson,https://rickandmorty.fandom.com/wiki/Daron_Jefferson
Darth Poopybutthole,https://rickandmorty.fandom.com/wiki/Darth_Poopybutthole
Dave,https://rickandmorty.fandom.com/wiki/Dave
David Letterman,https://rickandmorty.fandom.com/wiki/David_Letterman
David Prime,https://rickandmorty.fandom.com/wiki/David_Prime
Davin,https://rickandmorty.fandom.com/wiki/Davin
Da’hou Ungherstahnk,https://rickandmorty.fandom.com/wiki/Da%E2%80%99hou_Ungherstahnk
Defiance Doctor,https://rickandmorty.fandom.com/wiki/Defiance_Doctor
Delta,https://rickandmorty.fandom.com/wiki/Delta
Diablo Verde,https://rickandmorty.fandom.com/wiki/Diablo_Verde
Diane Sanchez,https://rickandmorty.fandom.com/wiki/Diane_Sanchez
Diesel Weasel,https://rickandmorty.fandom.com/wiki/Diesel_Weasel
Dipper and Mabel Mortys,https://rickandmorty.fandom.com/wiki/Dipper_and_Mabel_Mortys
Diseases,https://rickandmorty.fandom.com/wiki/Diseases
Donna Guterman,https://rickandmorty.fandom.com/wiki/Donna_Guterman
Doofus Rick,https://rickandmorty.fandom.com/wiki/Doofus_Rick
Doom-Nomitron,https://rickandmorty.fandom.com/wiki/Doom-Nomitron
Dr. Glip-Glop,https://rickandmorty.fandom.com/wiki/Dr._Glip-Glop
Dr. Schmidt,https://rickandmorty.fandom.com/wiki/Dr._Schmidt
Dr. Wong,https://rickandmorty.fandom.com/wiki/Dr._Wong
Dr. Xenon Bloom,https://rickandmorty.fandom.com/wiki/Dr._Xenon_Bloom
Drippy Boy,https://rickandmorty.fandom.com/wiki/Drippy_Boy
Duck with Muscles,https://rickandmorty.fandom.com/wiki/Duck_with_Muscles
Dwayne,https://rickandmorty.fandom.com/wiki/Dwayne
Eddie,https://rickandmorty.fandom.com/wiki/Eddie
Eli,https://rickandmorty.fandom.com/wiki/Eli
Eli's Girlfriend,https://rickandmorty.fandom.com/wiki/Eli%27s_Girlfriend
Eric Stoltz Mask Morty,https://rickandmorty.fandom.com/wiki/Eric_Stoltz_Mask_Morty
Ethan,https://rickandmorty.fandom.com/wiki/Ethan
Evil Beth Clone,https://rickandmorty.fandom.com/wiki/Evil_Beth_Clone
Evil Jerry Clone,https://rickandmorty.fandom.com/wiki/Evil_Jerry_Clone
Evil Morty,https://rickandmorty.fandom.com/wiki/Evil_Morty
Evil Rick Sanchez,https://rickandmorty.fandom.com/wiki/Evil_Rick_Sanchez
Evil Summer Clone,https://rickandmorty.fandom.com/wiki/Evil_Summer_Clone
Eyehole Man,https://rickandmorty.fandom.com/wiki/Eyehole_Man
Farmer Rick,https://rickandmorty.fandom.com/wiki/Farmer_Rick
Farmer Rick's Dog,https://rickandmorty.fandom.com/wiki/Farmer_Rick%27s_Dog
Fart,https://rickandmorty.fandom.com/wiki/Fart
Fascist Morty,https://rickandmorty.fandom.com/wiki/Fascist_Morty
Fast Aging Alien,https://rickandmorty.fandom.com/wiki/Fast_Aging_Alien
Father Bob,https://rickandmorty.fandom.com/wiki/Father_Bob
Flansians,https://rickandmorty.fandom.com/wiki/Flansians
Fleeb,https://rickandmorty.fandom.com/wiki/Fleeb
Fleeblebox IV,https://rickandmorty.fandom.com/wiki/Fleeblebox_IV
Flex Xando,https://rickandmorty.fandom.com/wiki/Flex_Xando
Florflok,https://rickandmorty.fandom.com/wiki/Florflok
Frank Palicky,https://rickandmorty.fandom.com/wiki/Frank_Palicky
Frankenstein's Monster,https://rickandmorty.fandom.com/wiki/Frankenstein%27s_Monster
Fulgora,https://rickandmorty.fandom.com/wiki/Fulgora
Fungo,https://rickandmorty.fandom.com/wiki/Fungo
Gaia,https://rickandmorty.fandom.com/wiki/Gaia
Galactic Federation President,https://rickandmorty.fandom.com/wiki/Galactic_Federation_President
Gar Gloonch,https://rickandmorty.fandom.com/wiki/Gar_Gloonch
Gar's Mytholog,https://rickandmorty.fandom.com/wiki/Gar%27s_Mytholog
Garblovians,https://rickandmorty.fandom.com/wiki/Garblovians
Garmanarnar,https://rickandmorty.fandom.com/wiki/Garmanarnar
Garment District Rick,https://rickandmorty.fandom.com/wiki/Garment_District_Rick
Gazorpazorpfield (Character),https://rickandmorty.fandom.com/wiki/Gazorpazorpfield_(Character)
Gazorpians,https://rickandmorty.fandom.com/wiki/Gazorpians
Geardude,https://rickandmorty.fandom.com/wiki/Geardude
Gene,https://rickandmorty.fandom.com/wiki/Gene
General Nathan,https://rickandmorty.fandom.com/wiki/General_Nathan
General Store Owner,https://rickandmorty.fandom.com/wiki/General_Store_Owner
Genital Washer,https://rickandmorty.fandom.com/wiki/Genital_Washer
Ghost in a Jar,https://rickandmorty.fandom.com/wiki/Ghost_in_a_Jar
Gibble Snake,https://rickandmorty.fandom.com/wiki/Gibble_Snake
Glar,https://rickandmorty.fandom.com/wiki/Glar
Glarb,https://rickandmorty.fandom.com/wiki/Glarb
Glasses Morty,https://rickandmorty.fandom.com/wiki/Glasses_Morty
Glaxo Slimslom,https://rickandmorty.fandom.com/wiki/Glaxo_Slimslom
Glenn,https://rickandmorty.fandom.com/wiki/Glenn
Glenn (Rixty Minutes),https://rickandmorty.fandom.com/wiki/Glenn_(Rixty_Minutes)
Glootie,https://rickandmorty.fandom.com/wiki/Glootie
GlorpDieBlorp,https://rickandmorty.fandom.com/wiki/GlorpDieBlorp
Gobo,https://rickandmorty.fandom.com/wiki/Gobo
Goddess Beth,https://rickandmorty.fandom.com/wiki/Goddess_Beth
Goomby,https://rickandmorty.fandom.com/wiki/Goomby
Gordon Lunas,https://rickandmorty.fandom.com/wiki/Gordon_Lunas
Gorpathian Dermaks,https://rickandmorty.fandom.com/wiki/Gorpathian_Dermaks
Grace,https://rickandmorty.fandom.com/wiki/Grace
Grace Smith,https://rickandmorty.fandom.com/wiki/Grace_Smith
Greebybobes,https://rickandmorty.fandom.com/wiki/Greebybobes
Greg,https://rickandmorty.fandom.com/wiki/Greg
Gromflomites,https://rickandmorty.fandom.com/wiki/Gromflomites
Gwendolyn,https://rickandmorty.fandom.com/wiki/Gwendolyn
Hambrosians,https://rickandmorty.fandom.com/wiki/Hambrosians
Hammerhead Morty,https://rickandmorty.fandom.com/wiki/Hammerhead_Morty
Hammerhead Morty (Fortnite),https://rickandmorty.fandom.com/wiki/Hammerhead_Morty_(Fortnite)
Hamsters In Butts,https://rickandmorty.fandom.com/wiki/Hamsters_In_Butts
Hamurai,https://rickandmorty.fandom.com/wiki/Hamurai
Harold,https://rickandmorty.fandom.com/wiki/Harold
Harold The Garbage Goober,https://rickandmorty.fandom.com/wiki/Harold_The_Garbage_Goober
Healthy Rick,https://rickandmorty.fandom.com/wiki/Healthy_Rick
Heistotron,https://rickandmorty.fandom.com/wiki/Heistotron
Helium-Q,https://rickandmorty.fandom.com/wiki/Helium-Q
Hemorrhage,https://rickandmorty.fandom.com/wiki/Hemorrhage
Hephaestus,https://rickandmorty.fandom.com/wiki/Hephaestus
Heroin Keith,https://rickandmorty.fandom.com/wiki/Heroin_Keith
Hole in the Wall Where the Men Can See it All,https://rickandmorty.fandom.com/wiki/Hole_in_the_Wall_Where_the_Men_Can_See_it_All
Holly Hooks,https://rickandmorty.fandom.com/wiki/Holly_Hooks
Hologram Rick,https://rickandmorty.fandom.com/wiki/Hologram_Rick
Hologram Rick (Edge of Tomorty: Rick Die Repeat),https://rickandmorty.fandom.com/wiki/Hologram_Rick_(Edge_of_Tomorty:_Rick_Die_Repeat)
Hookah Alien,https://rickandmorty.fandom.com/wiki/Hookah_Alien
Hoovy,https://rickandmorty.fandom.com/wiki/Hoovy
Hothead Rick,https://rickandmorty.fandom.com/wiki/Hothead_Rick
Hunter,https://rickandmorty.fandom.com/wiki/Hunter
Hunter's Father,https://rickandmorty.fandom.com/wiki/Hunter%27s_Father
Hydrogen-F,https://rickandmorty.fandom.com/wiki/Hydrogen-F
Ideal Jerry,https://rickandmorty.fandom.com/wiki/Ideal_Jerry
Insurance Rick,https://rickandmorty.fandom.com/wiki/Insurance_Rick
Investigator Rick,https://rickandmorty.fandom.com/wiki/Investigator_Rick
Invisi-troopers,https://rickandmorty.fandom.com/wiki/Invisi-troopers
Izzy,https://rickandmorty.fandom.com/wiki/Izzy
Jacob Philip,https://rickandmorty.fandom.com/wiki/Jacob_Philip
Jacqueline,https://rickandmorty.fandom.com/wiki/Jacqueline
Jaguar,https://rickandmorty.fandom.com/wiki/Jaguar
Jamey,https://rickandmorty.fandom.com/wiki/Jamey
Jan-Michael Vincent,https://rickandmorty.fandom.com/wiki/Jan-Michael_Vincent
Japheth,https://rickandmorty.fandom.com/wiki/Japheth
Jarshog Mollar,https://rickandmorty.fandom.com/wiki/Jarshog_Mollar
Jeff,https://rickandmorty.fandom.com/wiki/Jeff
Jerry Smith (304-X),https://rickandmorty.fandom.com/wiki/Jerry_Smith_(304-X)
Jerry Smith (C-500A),https://rickandmorty.fandom.com/wiki/Jerry_Smith_(C-500A)
Jerry Smith (Cronenberged dimension),https://rickandmorty.fandom.com/wiki/Jerry_Smith_(Cronenberged_dimension)
Jerry Smith (Evil Rick's Target Dimension),https://rickandmorty.fandom.com/wiki/Jerry_Smith_(Evil_Rick%27s_Target_Dimension)
Jerry's Mytholog,https://rickandmorty.fandom.com/wiki/Jerry%27s_Mytholog
Jessica,https://rickandmorty.fandom.com/wiki/Jessica
Jessica's Grandma,https://rickandmorty.fandom.com/wiki/Jessica%27s_Grandma
Jesus Christ,https://rickandmorty.fandom.com/wiki/Jesus_Christ
Jew,https://rickandmorty.fandom.com/wiki/Jew
Jodie,https://rickandmorty.fandom.com/wiki/Jodie
Johnny Depp,https://rickandmorty.fandom.com/wiki/Johnny_Depp
Jon,https://rickandmorty.fandom.com/wiki/Jon
Joseph Lipnip,https://rickandmorty.fandom.com/wiki/Joseph_Lipnip
Josiah,https://rickandmorty.fandom.com/wiki/Josiah
Joyce Smith,https://rickandmorty.fandom.com/wiki/Joyce_Smith
Juggling Rick,https://rickandmorty.fandom.com/wiki/Juggling_Rick
Karen Entity,https://rickandmorty.fandom.com/wiki/Karen_Entity
Katarina,https://rickandmorty.fandom.com/wiki/Katarina
Katherine Heffelfinger,https://rickandmorty.fandom.com/wiki/Katherine_Heffelfinger
Kathy Ireland,https://rickandmorty.fandom.com/wiki/Kathy_Ireland
Kelsey Shawsen,https://rickandmorty.fandom.com/wiki/Kelsey_Shawsen
Kendra,https://rickandmorty.fandom.com/wiki/Kendra
Kevin,https://rickandmorty.fandom.com/wiki/Kevin
Khlorgg,https://rickandmorty.fandom.com/wiki/Khlorgg
Kiara,https://rickandmorty.fandom.com/wiki/Kiara
King Flippy Nips,https://rickandmorty.fandom.com/wiki/King_Flippy_Nips
Kl’iiik Mijupsrit,https://rickandmorty.fandom.com/wiki/Kl%E2%80%99iiik_Mijupsrit
Korlunxes,https://rickandmorty.fandom.com/wiki/Korlunxes
Kozbians,https://rickandmorty.fandom.com/wiki/Kozbians
Kristen Stewart,https://rickandmorty.fandom.com/wiki/Kristen_Stewart
Krombopulos Michael,https://rickandmorty.fandom.com/wiki/Krombopulos_Michael
Kyle,https://rickandmorty.fandom.com/wiki/Kyle
Lady Katana,https://rickandmorty.fandom.com/wiki/Lady_Katana
Larva Aliens,https://rickandmorty.fandom.com/wiki/Larva_Aliens
Lawyer Morty,https://rickandmorty.fandom.com/wiki/Lawyer_Morty
Leonard Smith,https://rickandmorty.fandom.com/wiki/Leonard_Smith
Lighthouse Keeper,https://rickandmorty.fandom.com/wiki/Lighthouse_Keeper
Lil B,https://rickandmorty.fandom.com/wiki/Lil_B
Lisa,https://rickandmorty.fandom.com/wiki/Lisa
Little Dipper,https://rickandmorty.fandom.com/wiki/Little_Dipper
Little Ricky Wrap-it-up,https://rickandmorty.fandom.com/wiki/Little_Ricky_Wrap-it-up
Lizard Morty,https://rickandmorty.fandom.com/wiki/Lizard_Morty
Lizard Rick,https://rickandmorty.fandom.com/wiki/Lizard_Rick
Loggins,https://rickandmorty.fandom.com/wiki/Loggins
Logic,https://rickandmorty.fandom.com/wiki/Logic
Long Sleeved Morty,https://rickandmorty.fandom.com/wiki/Long_Sleeved_Morty
Lord Henderfinger,https://rickandmorty.fandom.com/wiki/Lord_Henderfinger
Lucius Needful,https://rickandmorty.fandom.com/wiki/Lucius_Needful
Lucy,https://rickandmorty.fandom.com/wiki/Lucy
Maggie,https://rickandmorty.fandom.com/wiki/Maggie
Magnesium-J,https://rickandmorty.fandom.com/wiki/Magnesium-J
Man Painted Silver Who Makes Robot Noises,https://rickandmorty.fandom.com/wiki/Man_Painted_Silver_Who_Makes_Robot_Noises
Mar-Sha,https://rickandmorty.fandom.com/wiki/Mar-Sha
Masy Kallerax,https://rickandmorty.fandom.com/wiki/Masy_Kallerax
Maximums Rickimus,https://rickandmorty.fandom.com/wiki/Maximums_Rickimus
MC Haps,https://rickandmorty.fandom.com/wiki/MC_Haps
McGlaargle,https://rickandmorty.fandom.com/wiki/McGlaargle
Mecha Morty (Fortnite),https://rickandmorty.fandom.com/wiki/Mecha_Morty_(Fortnite)
Mechanical Morty,https://rickandmorty.fandom.com/wiki/Mechanical_Morty
Mechanical Rick,https://rickandmorty.fandom.com/wiki/Mechanical_Rick
Mechanical Summer,https://rickandmorty.fandom.com/wiki/Mechanical_Summer
Memory Parasites,https://rickandmorty.fandom.com/wiki/Memory_Parasites
Memory Rick,https://rickandmorty.fandom.com/wiki/Memory_Rick
Michael (The ABC's of Beth),https://rickandmorty.fandom.com/wiki/Michael_(The_ABC%27s_of_Beth)
Michael Denny and the Denny Singers,https://rickandmorty.fandom.com/wiki/Michael_Denny_and_the_Denny_Singers
Michael Jenkins,https://rickandmorty.fandom.com/wiki/Michael_Jenkins
Michael McLick,https://rickandmorty.fandom.com/wiki/Michael_McLick
Michael Thompson,https://rickandmorty.fandom.com/wiki/Michael_Thompson
Miggs,https://rickandmorty.fandom.com/wiki/Miggs
Miles Knightly,https://rickandmorty.fandom.com/wiki/Miles_Knightly
Million Ants,https://rickandmorty.fandom.com/wiki/Million_Ants
Mitch,https://rickandmorty.fandom.com/wiki/Mitch
Morty Jr.,https://rickandmorty.fandom.com/wiki/Morty_Jr.
Morty Rick,https://rickandmorty.fandom.com/wiki/Morty_Rick
Morty Smith,https://rickandmorty.fandom.com/wiki/Morty_Smith
Morty Smith (304-X),https://rickandmorty.fandom.com/wiki/Morty_Smith_(304-X)
Morty Smith (C-132),https://rickandmorty.fandom.com/wiki/Morty_Smith_(C-132)
Morty Smith (Evil Rick's Target Dimension),https://rickandmorty.fandom.com/wiki/Morty_Smith_(Evil_Rick%27s_Target_Dimension)
Morty Smith (K-22),https://rickandmorty.fandom.com/wiki/Morty_Smith_(K-22)
Morty Smith (Replacement Dimension),https://rickandmorty.fandom.com/wiki/Morty_Smith_(Replacement_Dimension)
Morty's Girlfriend,https://rickandmorty.fandom.com/wiki/Morty%27s_Girlfriend
Mortytown Locos,https://rickandmorty.fandom.com/wiki/Mortytown_Locos
Mr. Always Wants To Be Hunted,https://rickandmorty.fandom.com/wiki/Mr._Always_Wants_To_Be_Hunted
Mr. Beauregard,https://rickandmorty.fandom.com/wiki/Mr._Beauregard
Mr. Benson,https://rickandmorty.fandom.com/wiki/Mr._Benson
Mr. Booby Buyer,https://rickandmorty.fandom.com/wiki/Mr._Booby_Buyer
Mr. Goldenfold,https://rickandmorty.fandom.com/wiki/Mr._Goldenfold
Mr. Goldenfold (Wasp Universe),https://rickandmorty.fandom.com/wiki/Mr._Goldenfold_(Wasp_Universe)
Mr. Goldenfold's Larvae,https://rickandmorty.fandom.com/wiki/Mr._Goldenfold%27s_Larvae
Mr. Marklovitz,https://rickandmorty.fandom.com/wiki/Mr._Marklovitz
Mr. Meeseeks,https://rickandmorty.fandom.com/wiki/Mr._Meeseeks
Mr. Meeseeks (Kirkland),https://rickandmorty.fandom.com/wiki/Mr._Meeseeks_(Kirkland)
Mr. Nimbus,https://rickandmorty.fandom.com/wiki/Mr._Nimbus
Mr. Poopybutthole,https://rickandmorty.fandom.com/wiki/Mr._Poopybutthole
Mr. Poopybutthole's Cat,https://rickandmorty.fandom.com/wiki/Mr._Poopybutthole%27s_Cat
Mr. Poopybutthole's Dog,https://rickandmorty.fandom.com/wiki/Mr._Poopybutthole%27s_Dog
Mr. Sneezy,https://rickandmorty.fandom.com/wiki/Mr._Sneezy
Mr. Youseeks,https://rickandmorty.fandom.com/wiki/Mr._Youseeks
Mrs. Lipnip,https://rickandmorty.fandom.com/wiki/Mrs._Lipnip
Mrs. Pancakes,https://rickandmorty.fandom.com/wiki/Mrs._Pancakes
Mrs. Poopybutthole,https://rickandmorty.fandom.com/wiki/Mrs._Poopybutthole
Mrs. Refrigerator,https://rickandmorty.fandom.com/wiki/Mrs._Refrigerator
Mrs. Sullivan,https://rickandmorty.fandom.com/wiki/Mrs._Sullivan
Mysterious Rick,https://rickandmorty.fandom.com/wiki/Mysterious_Rick
Nancy,https://rickandmorty.fandom.com/wiki/Nancy
Naruto Smith,https://rickandmorty.fandom.com/wiki/Naruto_Smith
Nick,https://rickandmorty.fandom.com/wiki/Nick
Nippalians,https://rickandmorty.fandom.com/wiki/Nippalians
Noob-Noob,https://rickandmorty.fandom.com/wiki/Noob-Noob
Numbericons,https://rickandmorty.fandom.com/wiki/Numbericons
Octopus Man,https://rickandmorty.fandom.com/wiki/Octopus_Man
Old Reptile,https://rickandmorty.fandom.com/wiki/Old_Reptile
Pants on Head Mutant Morty,https://rickandmorty.fandom.com/wiki/Pants_on_Head_Mutant_Morty
Pat Guterman,https://rickandmorty.fandom.com/wiki/Pat_Guterman
Paul Fleishman,https://rickandmorty.fandom.com/wiki/Paul_Fleishman
Pawnshop Clerk,https://rickandmorty.fandom.com/wiki/Pawnshop_Clerk
Pencilvester,https://rickandmorty.fandom.com/wiki/Pencilvester
Phillip Jacobs,https://rickandmorty.fandom.com/wiki/Phillip_Jacobs
Photography Cyborgs,https://rickandmorty.fandom.com/wiki/Photography_Cyborgs
Photography Raptor,https://rickandmorty.fandom.com/wiki/Photography_Raptor
Pichael Thompson,https://rickandmorty.fandom.com/wiki/Pichael_Thompson
Pickle Rick (character),https://rickandmorty.fandom.com/wiki/Pickle_Rick_(character)
Pickles the Drummer,https://rickandmorty.fandom.com/wiki/Pickles_the_Drummer
Piece of Toast,https://rickandmorty.fandom.com/wiki/Piece_of_Toast
Pink Sentient Switchblade,https://rickandmorty.fandom.com/wiki/Pink_Sentient_Switchblade
Planetina,https://rickandmorty.fandom.com/wiki/Planetina
Plumber Rick,https://rickandmorty.fandom.com/wiki/Plumber_Rick
Plutonian,https://rickandmorty.fandom.com/wiki/Plutonian
Pom Poms,https://rickandmorty.fandom.com/wiki/Pom_Poms
Poncho,https://rickandmorty.fandom.com/wiki/Poncho
Poop Jesus,https://rickandmorty.fandom.com/wiki/Poop_Jesus
Poñeta,https://rickandmorty.fandom.com/wiki/Po%C3%B1eta
Presidentress of the Mega Gargantuans,https://rickandmorty.fandom.com/wiki/Presidentress_of_the_Mega_Gargantuans
Priest Witherspoon,https://rickandmorty.fandom.com/wiki/Priest_Witherspoon
Prince Nebulon,https://rickandmorty.fandom.com/wiki/Prince_Nebulon
Principal Vagina,https://rickandmorty.fandom.com/wiki/Principal_Vagina
Pripudlians,https://rickandmorty.fandom.com/wiki/Pripudlians
Professor Shabooboo,https://rickandmorty.fandom.com/wiki/Professor_Shabooboo
Professor Tock,https://rickandmorty.fandom.com/wiki/Professor_Tock
Purge Planet Ruler,https://rickandmorty.fandom.com/wiki/Purge_Planet_Ruler
Pussifer,https://rickandmorty.fandom.com/wiki/Pussifer
Quantum Rick,https://rickandmorty.fandom.com/wiki/Quantum_Rick
Randy Dicknose,https://rickandmorty.fandom.com/wiki/Randy_Dicknose
